Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.651648795,05-10-2017,14,0.56,10,27.01,19.02,58.32,5.76,29.07,29.86,2186,,
0.115777038,10-24-2016,7,0,10,8.39,7.18,87.28,7.8,29.53,30.33,157.57,,
0.598063177,11-18-2016,16,0.83,10,12.69,10.98,82.8,17.56,29.03,29.82,66.62,,
0.526629642,5-29-2016,14,0.15,10,28.85,14.42,40.64,12.48,29.26,30.05,3558.5,,
0.533952977,1-15-2017,14,0.65,7.08,1.35,-0.6,85.69,5.36,29.53,30.33,326,,
0.735916246,5-20-2016,12,1,10,20.04,4.85,35.04,11.88,29.29,30.08,1769.25,,
0.322056172,06-01-2017,15,0,10,27.34,3.6,20.56,4.72,29.25,30.04,3963,,
0.324239589,2-27-2016,9,0,9.84,3.11,0.17,77.32,12.44,29.28,30.07,3690.5,,
0.724421535,05-05-2016,6,1,10,6.28,3.76,79.16,14.28,29.13,29.92,96.38,,
0.288190243,2-27-2017,12,0.43,10,13.04,2.6,47.96,8.32,29.33,30.13,2914,,
0.337003913,03-05-2016,16,1,10,5.79,1.38,70.69,12.73,29.37,30.17,153.75,,
0.238209328,3-21-2016,8,0,10,3.63,-1.41,68,8.96,29.42,30.22,1560.5,,
0.487570582,10-03-2016,10,1,10,20.24,12.94,61.48,0.12,29.32,30.11,2249.75,,
0.663937808,7-13-2016,12,0.65,9,28.04,25.01,84.05,9.78,29.14,29.93,3094.75,,
0.594786959,5-25-2017,16,0.9,10,18.83,13.6,72.48,11.76,28.92,29.7,2753.25,,
0.583356324,4-13-2016,14,0,10,15.27,-0.26,33.76,5.8,29.43,30.23,3915.75,,
0.454977994,1-31-2017,14,0.15,10,5.98,0.9,71.2,17.68,29.08,29.87,1036.75,,
0.077097522,04-09-2016,7,0,10,-1.83,-6.87,66.32,13.4,29.43,30.23,748.25,,
0.196600609,9-23-2016,8,0,9.96,24.75,20.05,70.24,1.08,29.3,30.09,1604.25,,
0.355590392,03-04-2017,14,0,10,11.94,-1.37,39.88,12.04,29.56,30.36,3729,,
0.40425647,10-21-2016,14,0.55,10,13.47,3.91,49.72,10.12,29.34,30.13,2302.5,,
0.753573726,09-11-2016,10,0.01,10,22,11.72,50.92,1.72,29.44,30.24,3852.75,,
0.889377354,10-24-2017,17,1,9.96,6.82,5.18,89.3,13.77,29.06,29.85,48,,
0.14633977,12-11-2016,8,0.04,10,0.58,-3.65,21.54,11.76,8.52,30.02,35.25,,
0.404977124,07-06-2017,8,0,10,25.83,21.41,73.16,6.08,29.24,30.03,567.25,,
0.210104182,07-12-2017,16,0.01,10,31.52,26.42,73.76,2.32,29.15,29.94,1790.75,,
0.70227239,04-02-2016,6,0.7,10,1.08,-1.02,80.2,13.24,28.98,29.77,29.85,,
0.874336237,8-24-2016,10,0.99,9.04,26.25,24.55,92.56,8.64,29.23,30.02,1666.5,,
0.591920797,6-28-2016,11,0.75,10,23.72,17.1,64,7.5,29.32,30.14,3144.25,,
0.349584621,04-12-2017,7,0,10,8.46,5.74,80,0.24,29.59,30.39,722.5,,
0.399645819,11-05-2016,7,0,9.88,5.68,5.12,86.12,2.68,29.62,30.42,98.88,,
0.660717642,11-26-2016,8,0,4.36,1.97,2.24,93.8,5.64,29.59,30.39,1421.25,,
0.52161097,8-20-2016,15,0.65,10,25.2,20.79,73.36,15.08,28.9,29.69,1950.25,,
0.199389812,8-22-2017,7,0.99,7,20.67,20.9,98.92,3.4,29.13,29.92,145.35,,
0.553702235,11-16-2016,11,0,10,14.16,8.17,65.84,0.96,29.16,29.95,3853.5,,
0.383307342,12-17-2016,13,1,3.42,-1.88,-2.38,94.08,10.07,28.92,29.71,371.25,,
0.920632082,12-28-2016,15,1,10,4.93,0.88,71,8.64,29.06,29.85,46.08,,
0.369342962,4-14-2016,8,0,10,10.09,1.99,56.12,8.84,29.46,30.26,1516,,
0.784759443,6-24-2017,12,0.55,10,23.6,10.51,44.28,17.88,29.27,30.06,1377.5,,
0.447594189,6-26-2017,10,0.42,10,22.08,6.66,36.52,14.64,29.36,30.16,1293.5,,
0.084526379,03-11-2017,9,0,10,-2.79,-16.69,32.92,7.72,29.69,30.49,3099.75,,
0.299015104,2-18-2017,11,0,10,16.66,5.66,47.52,12.44,28.99,29.78,3208.5,,
0.894544111,04-01-2016,6,1,10,5.93,5.03,90.54,3.38,28.91,29.7,2.9,,
0.761179771,11-10-2016,8,0,10,6.24,4.08,78.2,8.96,29.43,30.23,2268.25,,
0.969203599,10-14-2016,10,0,10,16.15,7.93,54.88,10,29.46,30.26,3487,,
0.779068644,07-08-2016,6,0,10,22.45,22.22,94.92,5.12,29.1,29.89,345.25,,
0.33452396,1-28-2017,17,1,10,0.72,-2.32,79.31,11.61,29.04,29.83,0,,
0.521199691,03-03-2017,11,0.28,10,-0.16,-8.56,52.12,10.04,29.83,30.64,4682.5,,
0.722933672,8-14-2017,16,0.9,10,28.03,18.62,52.44,5.56,29.04,29.83,1990.25,,
0.231842833,12-04-2016,14,1,0.7,0.51,0.73,98.53,5.83,29.1,29.9,20.45,,
0.585549621,5-15-2017,13,0,10,29.51,12.72,33.12,12.04,29.13,29.92,4592.25,,
0.30088473,7-27-2016,8,0,10,25.05,21.1,79,7,29.21,30.03,2000.25,,
0.982380604,07-03-2016,7,1,4.2,15.41,14.7,93.32,6.48,29.31,30.1,191.73,,
0.002481356,02-06-2016,10,0,9.92,1.93,-1.72,75.16,8.04,29.51,30.31,3987.75,,
0.835187091,4-24-2017,12,0,10,23.27,-1.2,19.36,8.32,29.11,29.9,4591,,
0.579946706,5-19-2017,12,1,10,14.51,12.94,89.88,10,29.21,30,1571,,
0.415322592,02-08-2016,16,1,4.42,-5.2,-7.21,82,14.88,28.99,29.78,183,,
0.992127447,05-02-2016,8,1,9.04,9.2,7.65,88.88,14.36,29.22,30.01,643,,
0.549973253,06-08-2017,12,0,10,25.79,7.35,29.64,2.56,29.19,29.98,4711,,
0.756645925,12-13-2016,7,0.14,6.98,-1.37,-2.39,29.9,4.32,10.73,30.11,3.5,,
0.792965916,4-17-2017,9,0,10,17.13,4.58,41.84,8.4,29.39,30.19,2425.25,,
0.440266048,3-21-2017,13,1,10,12.42,2.17,49.48,15.68,29.41,30.21,1599.5,,
0.654845576,6-29-2017,7,0.03,10,24.99,19.36,68.28,9.8,29.07,29.86,253.75,,
0.813392869,07-12-2016,12,0.44,10,29.29,23.9,70,16,29.05,29.87,3923.75,,
0.816117014,01-04-2017,17,0,10,-7.5,-11.74,70.88,12.4,29.3,30.09,0,,
0.259455722,09-06-2016,9,0,10,29.07,24.84,74.76,13.64,29.34,30.14,2681,,
0.952678452,3-22-2016,16,0,10,18.73,5.04,38.04,21.92,28.9,29.68,1729.5,,
0.601081637,1-14-2017,10,1,2.91,-0.42,-0.83,95.21,3.62,29.69,30.49,263.75,,
0.79431427,04-09-2017,9,0,10,19,9.34,50.28,23.12,29.05,29.84,2762.25,,
